	f4_H	f3_CA	f2_N	f1_CB	C	Intensity
94	7.67	55.43	112.726	65.04	172.5	435861952.0
95	7.67	55.43	112.726	65.79	172.5	309818112.0
96	7.67	55.43	113.48	63.54	172.5	300519712.0
97	7.67	55.43	113.48	64.294	172.5	645301120.0
98	7.67	55.43	113.48	65.04	172.5	658097856.0
99	7.67	55.43	113.48	65.79	172.5	420020864.0
100	7.67	55.43	114.23	63.54	172.5	446459616.0
101	7.67	55.43	114.23	64.294	172.5	917189952.0
102	7.67	55.43	114.23	65.04	172.5	674997248.0
103	7.67	55.43	114.23	65.79	172.5	403825632.0
104	7.67	55.43	114.98	63.54	172.5	575651392.0
105	7.67	55.43	114.98	64.294	172.5	1079908608.0
106	7.67	55.43	114.98	65.04	172.5	687873472.0
107	7.67	55.43	114.98	65.79	172.5	390734144.0
108	7.67	55.83	110.48	63.54	172.5	250823872.0
109	7.67	55.83	110.48	64.294	172.5	425611296.0
110	7.67	55.83	110.48	65.04	172.5	334779968.0
111	7.67	55.83	110.48	65.79	172.5	297889920.0
112	7.67	55.83	111.23	63.54	172.5	240466976.0
113	7.67	55.83	111.23	64.294	172.5	396545984.0
114	7.67	55.83	111.23	65.04	172.5	384326880.0
115	7.67	55.83	111.23	65.79	172.5	313027712.0
116	7.67	55.83	111.98	63.54	172.5	256252176.0
117	7.67	55.83	111.98	64.294	172.5	395901856.0
118	7.67	55.83	111.98	65.04	172.5	397093440.0
119	7.67	55.83	111.98	65.79	172.5	312233888.0
120	7.67	55.83	112.726	63.54	172.5	258969376.0
121	7.67	55.83	112.726	64.294	172.5	410720608.0
122	7.67	55.83	112.726	65.04	172.5	427141760.0
123	7.67	55.83	112.726	65.79	172.5	312128800.0
124	7.67	55.83	113.48	63.54	172.5	296352608.0
125	7.67	55.83	113.48	64.294	172.5	508984896.0
126	7.67	55.83	113.48	65.04	172.5	717720128.0
127	7.67	55.83	113.48	65.79	172.5	431402496.0
128	7.67	55.83	114.23	63.54	172.5	431690944.0
129	7.67	55.83	114.23	64.294	172.5	679988288.0
130	7.67	55.83	114.23	65.04	172.5	701290944.0
131	7.67	55.83	114.23	65.79	172.5	426261984.0
132	7.67	55.83	114.98	63.54	172.5	581583680.0
133	7.67	55.83	114.98	64.294	172.5	942934272.0
134	7.67	55.83	114.98	65.04	172.5	712858112.0
135	7.67	55.83	114.98	65.79	172.5	422129952.0
136	7.67	56.23	110.48	64.294	172.5	277360064.0
137	7.67	56.23	110.48	65.04	172.5	312158816.0
138	7.67	56.23	110.48	65.79	172.5	277936192.0
139	7.67	56.23	111.23	64.294	172.5	282584896.0
140	7.67	56.23	111.23	65.04	172.5	394746816.0
141	7.67	56.23	111.23	65.79	172.5	322186880.0
142	7.67	56.23	111.98	64.294	172.5	294544256.0
143	7.67	56.23	111.98	65.04	172.5	407924512.0
144	7.67	56.23	111.98	65.79	172.5	325533536.0
145	7.67	56.23	112.726	63.54	172.5	215407680.0
146	7.67	56.23	112.726	64.294	172.5	289127168.0
147	7.67	56.23	112.726	65.04	172.5	370996704.0
148	7.67	56.23	112.726	65.79	172.5	286932768.0
149	7.67	56.23	113.48	63.54	172.5	236163552.0
150	7.67	56.23	113.48	64.294	172.5	382183552.0
151	7.67	56.23	113.48	65.04	172.5	589773760.0
152	7.67	56.23	113.48	65.79	172.5	363159392.0
153	7.67	56.23	114.23	63.54	172.5	301068576.0
154	7.67	56.23	114.23	64.294	172.5	462033632.0
155	7.67	56.23	114.23	65.04	172.5	591075328.0
156	7.67	56.23	114.23	65.79	172.5	375114496.0
157	7.67	56.23	114.98	63.54	172.5	367477344.0
158	7.67	56.23	114.98	64.294	172.5	608923904.0
159	7.67	56.23	114.98	65.04	172.5	597674496.0
160	7.67	56.23	114.98	65.79	172.5	394054688.0
161	8.174	53.83	110.48	65.04	172.5	235310112.0
162	8.174	53.83	111.23	64.294	172.5	303554752.0
163	8.174	53.83	111.23	65.04	172.5	289979296.0
164	8.174	53.83	111.98	64.294	172.5	319920640.0
165	8.174	53.83	111.98	65.04	172.5	417372064.0
166	8.174	53.83	111.98	65.79	172.5	240089104.0
167	8.174	53.83	112.726	64.294	172.5	348670688.0
168	8.174	53.83	112.726	65.04	172.5	461431712.0
169	8.174	53.83	112.726	65.79	172.5	359075616.0
170	8.174	53.83	113.48	62.79	172.5	217869200.0
171	8.174	53.83	113.48	64.294	172.5	267309552.0
172	8.174	53.83	113.48	65.04	172.5	415930624.0
173	8.174	53.83	113.48	65.79	172.5	405744448.0
174	8.174	53.83	114.23	64.294	172.5	279382208.0
175	8.174	53.83	114.23	65.04	172.5	333745728.0
176	8.174	53.83	114.23	65.79	172.5	314172256.0
177	8.174	53.83	114.98	63.54	172.5	232077120.0
178	8.174	53.83	114.98	64.294	172.5	229798176.0
179	8.174	53.83	114.98	65.04	172.5	280410048.0
180	8.174	53.83	114.98	65.79	172.5	291927328.0
181	8.174	54.23	110.48	64.294	172.5	309502752.0
182	8.174	54.23	110.48	65.04	172.5	299850080.0
183	8.174	54.23	111.23	63.54	172.5	234713760.0
184	8.174	54.23	111.23	64.294	172.5	442104768.0
185	8.174	54.23	111.23	65.04	172.5	404910944.0
186	8.174	54.23	111.23	65.79	172.5	256880352.0
187	8.174	54.23	111.98	63.54	172.5	282780992.0
188	8.174	54.23	111.98	64.294	172.5	483891104.0
189	8.174	54.23	111.98	65.04	172.5	590558656.0
190	8.174	54.23	111.98	65.79	172.5	390027584.0
191	8.174	54.23	112.726	63.54	172.5	247341520.0
192	8.174	54.23	112.726	64.294	172.5	525283968.0
193	8.174	54.23	112.726	65.04	172.5	687430016.0
194	8.174	54.23	112.726	65.79	172.5	499542592.0
195	8.174	54.23	113.48	62.79	172.5	231798688.0
196	8.174	54.23	113.48	63.54	172.5	315375328.0
197	8.174	54.23	113.48	64.294	172.5	511050848.0
198	8.174	54.23	113.48	65.04	172.5	652193856.0
199	8.174	54.23	113.48	65.79	172.5	460257184.0
200	8.174	54.23	114.23	62.79	172.5	282895552.0
201	8.174	54.23	114.23	63.54	172.5	434427968.0
202	8.174	54.23	114.23	64.294	172.5	657670016.0
203	8.174	54.23	114.23	65.04	172.5	673618112.0
204	8.174	54.23	114.23	65.79	172.5	364011648.0
205	8.174	54.23	114.98	62.79	172.5	384875936.0
206	8.174	54.23	114.98	63.54	172.5	554919424.0
207	8.174	54.23	114.98	64.294	172.5	652218368.0
208	8.174	54.23	114.98	65.04	172.5	554430080.0
209	8.174	54.23	114.98	65.79	172.5	323637376.0
210	8.174	54.63	110.48	63.54	172.5	265728544.0
211	8.174	54.63	110.48	64.294	172.5	406859520.0
