	f4	f3	f2	f1	C	Intensity
95	8.047	55.43	116.9	62.21	172.355	633387392.0
96	8.047	55.43	116.9	62.96	172.355	1564351616.0
97	8.047	55.43	116.9	63.71	172.355	2065644032.0
98	8.047	55.43	116.9	64.46	172.355	2367058944.0
99	8.047	55.43	117.65100000000001	62.21	172.355	889608000.0
100	8.047	55.43	117.65100000000001	62.96	172.355	2078495744.0
101	8.047	55.43	117.65100000000001	63.71	172.355	2155835648.0
102	8.047	55.43	117.65100000000001	64.46	172.355	2230525952.0
103	8.047	55.43	118.4	62.21	172.355	798621824.0
104	8.047	55.43	118.4	62.96	172.355	1433277312.0
105	8.047	55.43	118.4	63.71	172.355	1597182592.0
106	8.047	55.43	118.4	64.46	172.355	1677906688.0
107	8.047	55.43	119.15	62.96	172.355	662706304.0
108	8.047	55.43	119.15	63.71	172.355	872410560.0
109	8.047	55.43	119.15	64.46	172.355	1200144640.0
110	8.047	55.43	119.9	63.71	172.355	542576768.0
111	8.047	55.43	119.9	64.46	172.355	735520960.0
112	8.047	55.825	115.4	62.96	172.355	889957568.0
113	8.047	55.825	115.4	63.71	172.355	1479598592.0
114	8.047	55.825	115.4	64.46	172.355	1810038528.0
115	8.047	55.825	116.15	62.96	172.355	1219213824.0
116	8.047	55.825	116.15	63.71	172.355	1717261184.0
117	8.047	55.825	116.15	64.46	172.355	2351818752.0
118	8.047	55.825	116.9	62.21	172.355	647352960.0
119	8.047	55.825	116.9	62.96	172.355	2198203904.0
120	8.047	55.825	116.9	63.71	172.355	2269426176.0
121	8.047	55.825	116.9	64.46	172.355	2554775552.0
122	8.047	55.825	117.65100000000001	62.21	172.355	1089035392.0
123	8.047	55.825	117.65100000000001	62.96	172.355	3299857664.0
124	8.047	55.825	117.65100000000001	63.71	172.355	2813884928.0
125	8.047	55.825	117.65100000000001	64.46	172.355	2700894976.0
126	8.047	55.825	118.4	62.21	172.355	1108069888.0
127	8.047	55.825	118.4	62.96	172.355	2416948992.0
