	f4_H	f3_CA	f2_N	f1_CB	C	Intensity
95	8.648	47.547	117.42	48.3	173.222	3294017300.0
96	8.648	47.547	118.17	46.8	173.222	1133574300.0
97	8.648	47.547	118.17	47.547	173.222	3681628700.0
98	8.648	47.547	118.17	48.3	173.222	1969071000.0
99	8.648	47.547	118.92	47.547	173.222	2308007400.0
100	8.648	47.547	118.92	48.3	173.222	1147284900.0
101	8.648	47.95	114.42	47.547	173.222	2125386600.0
102	8.648	47.95	114.42	48.3	173.222	2029180200.0
103	8.648	47.95	115.17	47.547	173.222	2817958700.0
104	8.648	47.95	115.17	48.3	173.222	2547035100.0
105	8.648	47.95	115.92	47.547	173.222	4095490000.0
106	8.648	47.95	115.92	48.3	173.222	3951185700.0
107	8.648	47.95	116.669	47.547	173.222	5390351400.0
108	8.648	47.95	116.669	48.3	173.222	5299236000.0
109	8.648	47.95	117.42	47.547	173.222	4898281000.0
110	8.648	47.95	117.42	48.3	173.222	4723365400.0
111	8.648	47.95	118.17	47.547	173.222	2969947600.0
112	8.648	47.95	118.17	48.3	173.222	2923137300.0
113	8.648	47.95	118.92	47.547	173.222	1797670400.0
114	8.648	47.95	118.92	48.3	173.222	1646636500.0
115	8.648	48.35	114.42	48.3	173.222	1510552200.0
116	8.648	48.35	115.17	47.547	173.222	1198979700.0
117	8.648	48.35	115.17	48.3	173.222	2037893900.0
118	8.648	48.35	115.92	47.547	173.222	1651086000.0
119	8.648	48.35	115.92	48.3	173.222	2973917700.0
120	8.648	48.35	116.669	47.547	173.222	2170406700.0
121	8.648	48.35	116.669	48.3	173.222	3732014300.0
122	8.648	48.35	116.669	49.05	173.222	1079844100.0
123	8.648	48.35	117.42	47.547	173.222	2228213800.0
124	8.648	48.35	117.42	48.3	173.222	3385949700.0
125	8.648	48.35	118.17	47.547	173.222	1453105900.0
126	8.648	48.35	118.17	48.3	173.222	2271498200.0
127	8.648	48.35	118.92	48.3	173.222	1308739100.0
128	8.648	48.75	115.17	48.3	173.222	1079101700.0
129	8.648	48.75	115.92	48.3	173.222	1355179600.0
130	8.648	48.75	116.669	48.3	173.222	1560811400.0
131	8.648	48.75	117.42	48.3	173.222	1328791200.0
132	8.648	48.75	118.17	48.3	173.222	1013521600.0
133	9.05	46.75	117.42	46.8	173.222	1107322100.0
134	9.05	47.15	114.42	47.547	173.222	1120947200.0
135	9.05	47.15	115.17	47.547	173.222	1055999940.0
136	9.05	47.15	115.92	47.547	173.222	1334765400.0
137	9.05	47.15	116.669	46.8	173.222	1194769800.0
138	9.05	47.15	116.669	47.547	173.222	1850691600.0
139	9.05	47.15	117.42	46.8	173.222	1242146400.0
140	9.05	47.15	117.42	47.547	173.222	1808759000.0
141	9.05	47.15	118.17	47.547	173.222	1190257200.0
