	f4	f3	f2	f1	C	Intensity
84	9.003	51.76	124.57	39.09	173.09599999999998	612969216.0
85	9.003	51.76	124.57	39.84	173.09599999999998	1019307264.0
86	9.003	51.76	124.57	40.595	173.09599999999998	1463929344.0
87	9.003	51.76	124.57	41.34	173.09599999999998	759800384.0
88	9.003	51.76	125.32	39.84	173.09599999999998	864777472.0
89	9.003	51.76	125.32	40.595	173.09599999999998	1077055360.0
90	9.003	52.161	120.82	40.595	173.09599999999998	726101696.0
91	9.003	52.161	120.82	41.34	173.09599999999998	597569408.0
92	9.003	52.161	120.82	42.09	173.09599999999998	588990912.0
93	9.003	52.161	121.57	39.84	173.09599999999998	727400512.0
94	9.003	52.161	121.57	40.595	173.09599999999998	1149019136.0
95	9.003	52.161	121.57	41.34	173.09599999999998	801801472.0
96	9.003	52.161	121.57	42.09	173.09599999999998	632232064.0
97	9.003	52.161	122.32	39.84	173.09599999999998	1279052416.0
98	9.003	52.161	122.32	40.595	173.09599999999998	2385433856.0
99	9.003	52.161	122.32	41.34	173.09599999999998	1466831488.0
100	9.003	52.161	122.32	42.09	173.09599999999998	804388544.0
101	9.003	52.161	123.06700000000001	39.09	173.09599999999998	603422400.0
102	9.003	52.161	123.06700000000001	39.84	173.09599999999998	1873123328.0
103	9.003	52.161	123.06700000000001	40.595	173.09599999999998	3673741056.0
104	9.003	52.161	123.06700000000001	41.34	173.09599999999998	2018120832.0
105	9.003	52.161	123.06700000000001	42.09	173.09599999999998	1019018240.0
106	9.003	52.161	123.82	39.09	173.09599999999998	809405312.0
107	9.003	52.161	123.82	39.84	173.09599999999998	1638495360.0
108	9.003	52.161	123.82	40.595	173.09599999999998	3044500224.0
109	9.003	52.161	123.82	41.34	173.09599999999998	1561411200.0
110	9.003	52.161	123.82	42.09	173.09599999999998	766785600.0
111	9.003	52.161	124.57	39.09	173.09599999999998	730815616.0
112	9.003	52.161	124.57	39.84	173.09599999999998	1238951424.0
113	9.003	52.161	124.57	40.595	173.09599999999998	1902491904.0
114	9.003	52.161	124.57	41.34	173.09599999999998	950634496.0
115	9.003	52.161	124.57	42.09	173.09599999999998	554894976.0
116	9.003	52.161	125.32	39.84	173.09599999999998	883854400.0
117	9.003	52.161	125.32	40.595	173.09599999999998	1305407104.0
118	9.003	52.161	125.32	41.34	173.09599999999998	663503168.0
119	9.003	52.56	120.82	40.595	173.09599999999998	601885888.0
120	9.003	52.56	121.57	39.84	173.09599999999998	581397888.0
121	9.003	52.56	121.57	40.595	173.09599999999998	923735168.0
122	9.003	52.56	121.57	41.34	173.09599999999998	701374144.0
123	9.003	52.56	122.32	39.84	173.09599999999998	1017101760.0
124	9.003	52.56	122.32	40.595	173.09599999999998	1899823744.0
125	9.003	52.56	122.32	41.34	173.09599999999998	1349475200.0
126	9.003	52.56	122.32	42.09	173.09599999999998	737721344.0
127	9.003	52.56	123.06700000000001	39.84	173.09599999999998	1470497536.0
128	9.003	52.56	123.06700000000001	40.595	173.09599999999998	2817241088.0
129	9.003	52.56	123.06700000000001	41.34	173.09599999999998	1835074048.0
130	9.003	52.56	123.06700000000001	42.09	173.09599999999998	958664704.0
131	9.003	52.56	123.82	39.09	173.09599999999998	612715008.0
132	9.003	52.56	123.82	39.84	173.09599999999998	1228623360.0
133	9.003	52.56	123.82	40.595	173.09599999999998	2252939008.0
134	9.003	52.56	123.82	41.34	173.09599999999998	1323872384.0
135	9.003	52.56	123.82	42.09	173.09599999999998	716606784.0
136	9.003	52.56	124.57	39.84	173.09599999999998	918276288.0
137	9.003	52.56	124.57	40.595	173.09599999999998	1363436544.0
138	9.003	52.56	124.57	41.34	173.09599999999998	788118208.0
139	9.003	52.56	125.32	39.84	173.09599999999998	636631360.0
140	9.003	52.56	125.32	40.595	173.09599999999998	917033344.0
141	9.003	52.56	125.32	41.34	173.09599999999998	576121856.0
142	9.003	52.96	121.57	40.595	173.09599999999998	599033664.0
143	9.003	52.96	122.32	39.84	173.09599999999998	645375744.0
144	9.003	52.96	122.32	40.595	173.09599999999998	891270656.0
145	9.003	52.96	122.32	41.34	173.09599999999998	777314304.0
146	9.003	52.96	122.32	42.09	173.09599999999998	556318848.0
147	9.003	52.96	123.06700000000001	39.84	173.09599999999998	750080064.0
148	9.003	52.96	123.06700000000001	40.595	173.09599999999998	1131665152.0
149	9.003	52.96	123.06700000000001	41.34	173.09599999999998	1014034880.0
150	9.003	52.96	123.06700000000001	42.09	173.09599999999998	731066752.0
151	9.003	52.96	123.82	39.84	173.09599999999998	728575680.0
152	9.003	52.96	123.82	40.595	173.09599999999998	1066878400.0
153	9.003	52.96	123.82	41.34	173.09599999999998	812831680.0
154	9.003	52.96	123.82	42.09	173.09599999999998	630680704.0
155	9.003	52.96	124.57	40.595	173.09599999999998	664058240.0
156	9.003	52.96	124.57	41.34	173.09599999999998	594790016.0
157	9.003	53.36	123.06700000000001	41.34	173.09599999999998	561508864.0
158	9.003	53.36	123.06700000000001	42.09	173.09599999999998	558393088.0
159	9.003	53.36	123.82	42.09	173.09599999999998	558131008.0
160	9.003	53.36	124.57	42.09	173.09599999999998	600476288.0
161	9.4	52.161	123.06700000000001	39.84	173.09599999999998	609434816.0
162	9.4	52.161	123.06700000000001	40.595	173.09599999999998	966942144.0
163	9.4	52.161	123.82	40.595	173.09599999999998	760622720.0
164	9.4	52.161	124.57	40.595	173.09599999999998	587516288.0
165	9.4	52.161	125.32	40.595	173.09599999999998	610589760.0
166	9.4	52.161	125.32	41.34	173.09599999999998	686742784.0
167	9.4	52.56	123.06700000000001	40.595	173.09599999999998	923499264.0
168	9.4	52.56	123.06700000000001	41.34	173.09599999999998	552601088.0
169	9.4	52.56	123.82	40.595	173.09599999999998	761689152.0
170	9.4	52.56	123.82	42.09	173.09599999999998	574929792.0
171	9.4	52.56	125.32	41.34	173.09599999999998	654841984.0
172	9.4	52.96	123.06700000000001	40.595	173.09599999999998	584222656.0
