	f4	f3	f2	f1	C	Intensity
93	7.92	50.85	124.02	23.12	174.095	1054216192.0
94	7.92	50.85	124.77	20.87	174.095	620812544.0
95	7.92	50.85	124.77	21.62	174.095	812518720.0
96	7.92	50.85	124.77	22.366	174.095	1071399104.0
97	7.92	50.85	124.77	23.12	174.095	773187776.0
98	7.92	51.25	121.77	22.366	174.095	699411328.0
99	7.92	51.25	121.77	23.12	174.095	542191040.0
100	7.92	51.25	122.51799999999999	20.87	174.095	505975200.0
101	7.92	51.25	122.51799999999999	21.62	174.095	528125664.0
102	7.92	51.25	122.51799999999999	22.366	174.095	909696000.0
103	7.92	51.25	122.51799999999999	23.12	174.095	692135232.0
104	7.92	51.25	123.27	20.87	174.095	541748864.0
105	7.92	51.25	123.27	21.62	174.095	620740544.0
106	7.92	51.25	123.27	22.366	174.095	1076022528.0
107	7.92	51.25	123.27	23.12	174.095	697533312.0
108	7.92	51.25	124.02	20.87	174.095	478712640.0
109	7.92	51.25	124.02	21.62	174.095	657291968.0
110	7.92	51.25	124.02	22.366	174.095	985409536.0
111	7.92	51.25	124.02	23.12	174.095	693584768.0
112	7.92	51.25	124.77	20.87	174.095	452857952.0
113	7.92	51.25	124.77	21.62	174.095	592948544.0
114	7.92	51.25	124.77	22.366	174.095	694874816.0
115	7.92	51.65	121.77	22.366	174.095	569505088.0
116	7.92	51.65	122.51799999999999	22.366	174.095	808905088.0
117	7.92	51.65	122.51799999999999	23.12	174.095	519069824.0
118	7.92	51.65	123.27	22.366	174.095	800083968.0
119	7.92	51.65	123.27	23.12	174.095	528032000.0
120	7.92	51.65	124.02	21.62	174.095	461262624.0
121	7.92	51.65	124.02	22.366	174.095	543203904.0
122	7.92	52.053999999999995	122.51799999999999	22.366	174.095	479800288.0
123	8.32	50.85	121.77	20.87	174.095	548216384.0
124	8.32	50.85	121.77	21.62	174.095	597317824.0
125	8.32	50.85	121.77	22.366	174.095	516292544.0
126	8.32	50.85	121.77	23.12	174.095	492779648.0
127	8.32	50.85	122.51799999999999	20.87	174.095	771920128.0
128	8.32	50.85	122.51799999999999	21.62	174.095	854792128.0
129	8.32	50.85	122.51799999999999	22.366	174.095	885371200.0
130	8.32	50.85	122.51799999999999	23.12	174.095	555618240.0
131	8.32	50.85	123.27	20.87	174.095	1040089472.0
132	8.32	50.85	123.27	21.62	174.095	1201048448.0
133	8.32	50.85	123.27	22.366	174.095	1399895552.0
134	8.32	50.85	123.27	23.12	174.095	812584576.0
135	8.32	50.85	124.02	20.87	174.095	1180495872.0
136	8.32	50.85	124.02	21.62	174.095	1401503744.0
137	8.32	50.85	124.02	22.366	174.095	1419188736.0
138	8.32	50.85	124.02	23.12	174.095	943218304.0
139	8.32	50.85	124.77	20.87	174.095	1184151040.0
140	8.32	50.85	124.77	21.62	174.095	1206664960.0
141	8.32	50.85	124.77	22.366	174.095	1306345600.0
142	8.32	50.85	124.77	23.12	174.095	934880256.0
143	8.32	51.25	122.51799999999999	20.87	174.095	515689760.0
